player,degree,pagerank,degree_centrality,eigenvector_centrality,clustering_coeff,community,matches_played,avg_kills,win_rate
francis,21,5.882814067357486e-05,0.0023885350318471337,8.238648214490466e-06,0.010035667700626388,4,8,17.5,0.75
frank,23,4.541717140972604e-05,0.002616014558689718,1.369546444750471e-05,0.00781576162847949,8,5,4.8,0.0
frankg,15,4.221882762537715e-05,0.0017060964513193812,1.853120903419428e-05,0.011082388105135774,9,5,10.0,0.2
franklin,15,3.394306444186794e-05,0.0017060964513193812,0.0002572283054080108,0.005935429552010943,1,2,11.0,0.0
frantastic,60,0.00020104870300026616,0.006824385805277525,4.981616184264404e-05,0.0052638192050112175,13,29,11.655172413793103,0.4827586206896552
franzera,62,0.00011738924255526802,0.007051865332120109,0.0002200904596217454,0.005087231856825515,9,26,14.5,0.46153846153846156
fraqqs,9,3.143891987681954e-05,0.0010236578707916288,1.2469736556801337e-06,0.007986942379290863,3,2,15.5,0.0
frazpeek,9,2.6413860066973437e-05,0.0010236578707916288,0.00017411569790402214,0.009008349570247369,1,2,6.5,0.0
freak,9,3.19266241899378e-05,0.0010236578707916288,1.8794947699979874e-07,0.004496440048686646,9,1,5.0,0.0
freakazoid,42,4.8223015073237636e-05,0.004777070063694267,0.002920431879493151,0.005970776810030519,1,11,17.818181818181817,0.45454545454545453
freakz,27,8.045200968138703e-05,0.0030709736123748863,2.8799479697681843e-06,0.007569819100758443,16,11,17.545454545454547,0.5454545454545454
frebik,14,3.9839130410380515e-05,0.0015923566878980893,8.55417175039656e-06,0.008594799105267715,8,4,14.75,0.5
freckie,44,9.586602240530608e-05,0.005004549590536852,1.4507971398820152e-05,0.003666738672706417,16,12,15.583333333333334,0.16666666666666666
fred,132,0.00021730926750555363,0.015013648771610556,0.00010726859997967453,0.005989563744948605,10,74,17.7027027027027,0.4594594594594595
freddan,45,9.301425680325301e-05,0.005118289353958144,0.00010162274582696376,0.013461547493015234,3,27,15.444444444444445,0.4074074074074074
freed0m,19,3.396348891189499e-05,0.0021610555050045497,1.1116339494813767e-05,0.013379314057847433,16,6,13.333333333333334,0.3333333333333333
freez,9,2.8178692665590494e-05,0.0010236578707916288,6.700466695341041e-07,0.006259792867541418,3,1,18.0,0.0
freeze,85,0.00015638974895317833,0.009667879890809828,1.6209113706540877e-05,0.004804256872203916,11,31,16.258064516129032,0.5483870967741935
frei,112,0.000189080589462844,0.012738853503184714,0.00014185101989823247,0.0042465172475234575,3,53,15.679245283018869,0.5283018867924528
frenya,14,3.046002651038869e-05,0.0015923566878980893,9.188093338271734e-07,0.010325149873090854,3,4,12.75,0.5
frenzaa,22,4.6388226954739836e-05,0.002502274795268426,3.4306461132575058e-06,0.005772742902249743,3,6,9.333333333333334,0.0
fresh,39,7.824377628625277e-05,0.004435850773430392,1.8631609445092108e-06,0.004513444705414626,3,14,10.785714285714286,0.2857142857142857
freshprince,9,3.287685421640356e-05,0.0010236578707916288,6.55317206513146e-06,0.010775561560602435,3,2,8.5,0.0
fresht,34,0.00011467088960404117,0.003867151956323931,0.0010519568744029998,0.01880237778727419,9,30,14.0,0.5666666666666667
frey,109,0.00025022554589463047,0.012397634212920838,0.00014845136459944007,0.009266143981199067,16,97,16.2680412371134,0.5979381443298969
freyholtz,16,2.980327493386853e-05,0.0018198362147406734,0.0005532366311720458,0.006019143895277559,1,3,7.0,0.0
freyy,111,0.0002758095119635081,0.012625113739763421,6.826028046562457e-05,0.008567457573690134,3,87,15.563218390804598,0.5057471264367817
frigg,9,2.854347897786557e-05,0.0010236578707916288,9.015058544949763e-06,0.010629491832747424,11,2,9.0,0.0
frisco,9,2.4596046686613214e-05,0.0010236578707916288,0.0009067044429684726,0.016725239405491157,1,3,6.333333333333333,0.0
